Timepoint,Treatment,ug/L,Species,Pigment
T0,Control,0.551171424,Diatoms,Fuco
T0,Control,0.576786454,Diatoms,Fuco
T0,Control,0.595823859,Diatoms,Fuco
T1,Control,1.133060775,Diatoms,Fuco
T1,Control,1.093310136,Diatoms,Fuco
T1,Control,0.92635578,Diatoms,Fuco
T1,NO3,1.047928716,Diatoms,Fuco
T1,NO3,1.058829977,Diatoms,Fuco
T1,NO3,1.099125259,Diatoms,Fuco
T1,NH4,1.116336012,Diatoms,Fuco
T1,NH4,1.001072567,Diatoms,Fuco
T1,NH4,0.970262471,Diatoms,Fuco
T1,P,1.076468066,Diatoms,Fuco
T1,P,1.084403111,Diatoms,Fuco
T1,P,1.095337888,Diatoms,Fuco
T1,NO3+P,0.998265556,Diatoms,Fuco
T1,NO3+P,1.10467225,Diatoms,Fuco
T1,NO3+P,1.075906663,Diatoms,Fuco
T1,NH4+P,1.090989115,Diatoms,Fuco
T1,NH4+P,1.112691086,Diatoms,Fuco
T1,NH4+P,0.960668356,Diatoms,Fuco
T2,Control,4.069186706,Diatoms,Fuco
T2,Control,4.470547494,Diatoms,Fuco
T2,Control,4.476488304,Diatoms,Fuco
T2,NO3,4.477317838,Diatoms,Fuco
T2,NO3,4.478440643,Diatoms,Fuco
T2,NO3,4.718285135,Diatoms,Fuco
T2,NH4,4.488562644,Diatoms,Fuco
T2,NH4,4.422501507,Diatoms,Fuco
T2,NH4,4.426498357,Diatoms,Fuco
T2,P,4.333959139,Diatoms,Fuco
T2,P,4.193382314,Diatoms,Fuco
T2,P,4.431668286,Diatoms,Fuco
T2,NO3+P,3.954727659,Diatoms,Fuco
T2,NO3+P,3.866495319,Diatoms,Fuco
T2,NO3+P,3.709143456,Diatoms,Fuco
T2,NH4+P,4.154059011,Diatoms,Fuco
T2,NH4+P,4.212109691,Diatoms,Fuco
T2,NH4+P,3.686544917,Diatoms,Fuco
T3,Control,20.21460728,Diatoms,Fuco
T3,Control,20.35082695,Diatoms,Fuco
T3,Control,20.58168062,Diatoms,Fuco
T3,NO3,14.75615922,Diatoms,Fuco
T3,NO3,18.74586141,Diatoms,Fuco
T3,NO3,19.03971784,Diatoms,Fuco
T3,NH4,18.55771621,Diatoms,Fuco
T3,NH4,21.70492105,Diatoms,Fuco
T3,NH4,20.17307188,Diatoms,Fuco
T3,P,17.52309357,Diatoms,Fuco
T3,P,15.6281679,Diatoms,Fuco
T3,P,15.42284547,Diatoms,Fuco
T3,NO3+P,20.40348984,Diatoms,Fuco
T3,NO3+P,16.4555828,Diatoms,Fuco
T3,NO3+P,15.34428265,Diatoms,Fuco
T3,NH4+P,20.98483455,Diatoms,Fuco
T3,NH4+P,19.13145266,Diatoms,Fuco
T3,NH4+P,18.45678109,Diatoms,Fuco
T0,Control,0.309090584,Cyanobacteria,Myxo
T0,Control,0.244188322,Cyanobacteria,Myxo
T0,Control,0.268998843,Cyanobacteria,Myxo
T1,Control,0.44960484,Cyanobacteria,Myxo
T1,Control,0.332055339,Cyanobacteria,Myxo
T1,Control,0.269932457,Cyanobacteria,Myxo
T1,NO3,0.30285576,Cyanobacteria,Myxo
T1,NO3,0.320143714,Cyanobacteria,Myxo
T1,NO3,0.303360126,Cyanobacteria,Myxo
T1,NH4,0.274342977,Cyanobacteria,Myxo
T1,NH4,0.333482588,Cyanobacteria,Myxo
T1,NH4,0.278249132,Cyanobacteria,Myxo
T1,P,0.282498685,Cyanobacteria,Myxo
T1,P,0.273870805,Cyanobacteria,Myxo
T1,P,0.309712993,Cyanobacteria,Myxo
T1,NO3+P,0.361233456,Cyanobacteria,Myxo
T1,NO3+P,0.342378748,Cyanobacteria,Myxo
T1,NO3+P,0.370912993,Cyanobacteria,Myxo
T1,NH4+P,0.36567617,Cyanobacteria,Myxo
T1,NH4+P,0.295311731,Cyanobacteria,Myxo
T1,NH4+P,0.243737612,Cyanobacteria,Myxo
T2,Control,0.337077538,Cyanobacteria,Myxo
T2,Control,0.475788953,Cyanobacteria,Myxo
T2,Control,0.46515434,Cyanobacteria,Myxo
T2,NO3,0.406186428,Cyanobacteria,Myxo
T2,NO3,0.313576223,Cyanobacteria,Myxo
T2,NO3,0.493291531,Cyanobacteria,Myxo
T2,NH4,0.38310363,Cyanobacteria,Myxo
T2,NH4,0.349751078,Cyanobacteria,Myxo
T2,NH4,0.423646081,Cyanobacteria,Myxo
T2,P,0.464177801,Cyanobacteria,Myxo
T2,P,0.667802209,Cyanobacteria,Myxo
T2,P,0.409867228,Cyanobacteria,Myxo
T2,NO3+P,0.325348343,Cyanobacteria,Myxo
T2,NO3+P,0.403857759,Cyanobacteria,Myxo
T2,NO3+P,0.342539716,Cyanobacteria,Myxo
T2,NH4+P,0.352240715,Cyanobacteria,Myxo
T2,NH4+P,0.369517938,Cyanobacteria,Myxo
T2,NH4+P,0.388866281,Cyanobacteria,Myxo
T3,Control,0.382170016,Cyanobacteria,Myxo
T3,Control,0.388361915,Cyanobacteria,Myxo
T3,Control,0.441996423,Cyanobacteria,Myxo
T3,NO3,0.397612204,Cyanobacteria,Myxo
T3,NO3,0.341069542,Cyanobacteria,Myxo
T3,NO3,0.398481431,Cyanobacteria,Myxo
T3,NH4,0.395380116,Cyanobacteria,Myxo
T3,NH4,0.373477749,Cyanobacteria,Myxo
T3,NH4,0.309949079,Cyanobacteria,Myxo
T3,P,0.428239032,Cyanobacteria,Myxo
T3,P,0.483064703,Cyanobacteria,Myxo
T3,P,0.389649658,Cyanobacteria,Myxo
T3,NO3+P,0.324006944,Cyanobacteria,Myxo
T3,NO3+P,0.291781168,Cyanobacteria,Myxo
T3,NO3+P,0.321892898,Cyanobacteria,Myxo
T3,NH4+P,0.344321094,Cyanobacteria,Myxo
T3,NH4+P,0.332742136,Cyanobacteria,Myxo
T3,NH4+P,0.339395476,Cyanobacteria,Myxo
T0,Control,0.2632596,Cryptophytes,Allo
T0,Control,0.226570331,Cryptophytes,Allo
T0,Control,0.241770442,Cryptophytes,Allo
T1,Control,0.338918156,Cryptophytes,Allo
T1,Control,0.346195209,Cryptophytes,Allo
T1,Control,0.268364304,Cryptophytes,Allo
T1,NO3,0.295838506,Cryptophytes,Allo
T1,NO3,0.304534237,Cryptophytes,Allo
T1,NO3,0.332502442,Cryptophytes,Allo
T1,NH4,0.225240321,Cryptophytes,Allo
T1,NH4,0.232935378,Cryptophytes,Allo
T1,NH4,0.22461965,Cryptophytes,Allo
T1,P,0.310962617,Cryptophytes,Allo
T1,P,0.328822749,Cryptophytes,Allo
T1,P,0.298732861,Cryptophytes,Allo
T1,NO3+P,0.339279159,Cryptophytes,Allo
T1,NO3+P,0.317454332,Cryptophytes,Allo
T1,NO3+P,0.314249641,Cryptophytes,Allo
T1,NH4+P,0.27506502,Cryptophytes,Allo
T1,NH4+P,0.254519536,Cryptophytes,Allo
T1,NH4+P,0.214194907,Cryptophytes,Allo
T2,Control,0.514067776,Cryptophytes,Allo
T2,Control,0.709921214,Cryptophytes,Allo
T2,Control,0.676069299,Cryptophytes,Allo
T2,NO3,0.352864258,Cryptophytes,Allo
T2,NO3,0.598403062,Cryptophytes,Allo
T2,NO3,0.8078036,Cryptophytes,Allo
T2,NH4,0.372497736,Cryptophytes,Allo
T2,NH4,0.538147286,Cryptophytes,Allo
T2,NH4,0.531136234,Cryptophytes,Allo
T2,P,0.61860021,Cryptophytes,Allo
T2,P,0.672579607,Cryptophytes,Allo
T2,P,0.506480387,Cryptophytes,Allo
T2,NO3+P,0.6625602,Cryptophytes,Allo
T2,NO3+P,0.531560571,Cryptophytes,Allo
T2,NO3+P,0.426109796,Cryptophytes,Allo
T2,NH4+P,0.384740159,Cryptophytes,Allo
T2,NH4+P,0.315953321,Cryptophytes,Allo
T2,NH4+P,0.263905605,Cryptophytes,Allo
T3,Control,0.516480793,Cryptophytes,Allo
T3,Control,0.730112029,Cryptophytes,Allo
T3,Control,0.955852687,Cryptophytes,Allo
T3,NO3,0.47601683,Cryptophytes,Allo
T3,NO3,0.593076689,Cryptophytes,Allo
T3,NO3,0.754945212,Cryptophytes,Allo
T3,NH4,0.823079712,Cryptophytes,Allo
T3,NH4,1.5702602,Cryptophytes,Allo
T3,NH4,1.272046676,Cryptophytes,Allo
T3,P,0.67073026,Cryptophytes,Allo
T3,P,0.589365329,Cryptophytes,Allo
T3,P,0.633895323,Cryptophytes,Allo
T3,NO3+P,1.029617562,Cryptophytes,Allo
T3,NO3+P,0.596971718,Cryptophytes,Allo
T3,NO3+P,0.58039093,Cryptophytes,Allo
T3,NH4+P,1.058440774,Cryptophytes,Allo
T3,NH4+P,0.66437788,Cryptophytes,Allo
T3,NH4+P,0.571986535,Cryptophytes,Allo
T0,Control,0.315252165,Cyanobacteria,Zea
T0,Control,0.261431209,Cyanobacteria,Zea
T0,Control,0.301220317,Cyanobacteria,Zea
T1,Control,0.480486363,Cyanobacteria,Zea
T1,Control,0.518542529,Cyanobacteria,Zea
T1,Control,0.47019468,Cyanobacteria,Zea
T1,NO3,0.494605481,Cyanobacteria,Zea
T1,NO3,0.511068435,Cyanobacteria,Zea
T1,NO3,0.501755428,Cyanobacteria,Zea
T1,NH4,0.413637171,Cyanobacteria,Zea
T1,NH4,0.484475871,Cyanobacteria,Zea
T1,NH4,0.46167334,Cyanobacteria,Zea
T1,P,0.468549008,Cyanobacteria,Zea
T1,P,0.505296116,Cyanobacteria,Zea
T1,P,0.461529967,Cyanobacteria,Zea
T1,NO3+P,0.503369932,Cyanobacteria,Zea
T1,NO3+P,0.529563545,Cyanobacteria,Zea
T1,NO3+P,0.439088985,Cyanobacteria,Zea
T1,NH4+P,0.483048376,Cyanobacteria,Zea
T1,NH4+P,0.458587705,Cyanobacteria,Zea
T1,NH4+P,0.434114567,Cyanobacteria,Zea
T2,Control,0.578759165,Cyanobacteria,Zea
T2,Control,0.635983669,Cyanobacteria,Zea
T2,Control,0.662894147,Cyanobacteria,Zea
T2,NO3,0.569003571,Cyanobacteria,Zea
T2,NO3,0.560544568,Cyanobacteria,Zea
T2,NO3,0.697945715,Cyanobacteria,Zea
T2,NH4,0.782997037,Cyanobacteria,Zea
T2,NH4,0.8659227,Cyanobacteria,Zea
T2,NH4,0.899235091,Cyanobacteria,Zea
T2,P,0.594361881,Cyanobacteria,Zea
T2,P,0.731202004,Cyanobacteria,Zea
T2,P,0.546724663,Cyanobacteria,Zea
T2,NO3+P,0.496506731,Cyanobacteria,Zea
T2,NO3+P,0.560052113,Cyanobacteria,Zea
T2,NO3+P,0.54315904,Cyanobacteria,Zea
T2,NH4+P,0.762494707,Cyanobacteria,Zea
T2,NH4+P,0.798930135,Cyanobacteria,Zea
T2,NH4+P,0.664140868,Cyanobacteria,Zea
T3,Control,0.689923064,Cyanobacteria,Zea
T3,Control,0.62245051,Cyanobacteria,Zea
T3,Control,0.802358618,Cyanobacteria,Zea
T3,NO3,0.592124016,Cyanobacteria,Zea
T3,NO3,0.572874641,Cyanobacteria,Zea
T3,NO3,0.593470475,Cyanobacteria,Zea
T3,NH4,1.695615681,Cyanobacteria,Zea
T3,NH4,1.777232287,Cyanobacteria,Zea
T3,NH4,1.598683105,Cyanobacteria,Zea
T3,P,0.648650357,Cyanobacteria,Zea
T3,P,0.669757348,Cyanobacteria,Zea
T3,P,0.637897386,Cyanobacteria,Zea
T3,NO3+P,0.555177433,Cyanobacteria,Zea
T3,NO3+P,0.48025572,Cyanobacteria,Zea
T3,NO3+P,0.549074732,Cyanobacteria,Zea
T3,NH4+P,1.403465261,Cyanobacteria,Zea
T3,NH4+P,1.204843868,Cyanobacteria,Zea
T3,NH4+P,1.066757024,Cyanobacteria,Zea
T0,Control,0.789683435,Chlorophytes,Chlb
T0,Control,0.678098025,Chlorophytes,Chlb
T0,Control,0.641433862,Chlorophytes,Chlb
T1,Control,1.250361353,Chlorophytes,Chlb
T1,Control,1.199144919,Chlorophytes,Chlb
T1,Control,1.041202833,Chlorophytes,Chlb
T1,NO3,1.130595354,Chlorophytes,Chlb
T1,NO3,1.040797853,Chlorophytes,Chlb
T1,NO3,1.071117334,Chlorophytes,Chlb
T1,NH4,1.229599393,Chlorophytes,Chlb
T1,NH4,1.161535804,Chlorophytes,Chlb
T1,NH4,1.403767667,Chlorophytes,Chlb
T1,P,1.185645596,Chlorophytes,Chlb
T1,P,1.248579442,Chlorophytes,Chlb
T1,P,1.179651896,Chlorophytes,Chlb
T1,NO3+P,0.775644138,Chlorophytes,Chlb
T1,NO3+P,1.157459008,Chlorophytes,Chlb
T1,NO3+P,0.908207496,Chlorophytes,Chlb
T1,NH4+P,1.138991933,Chlorophytes,Chlb
T1,NH4+P,1.101409816,Chlorophytes,Chlb
T1,NH4+P,1.140152875,Chlorophytes,Chlb
T2,Control,2.833535032,Chlorophytes,Chlb
T2,Control,2.449938251,Chlorophytes,Chlb
T2,Control,2.490895199,Chlorophytes,Chlb
T2,NO3,2.664928479,Chlorophytes,Chlb
T2,NO3,2.72818631,Chlorophytes,Chlb
T2,NO3,2.711447148,Chlorophytes,Chlb
T2,NH4,3.061538608,Chlorophytes,Chlb
T2,NH4,3.110811139,Chlorophytes,Chlb
T2,NH4,3.810913062,Chlorophytes,Chlb
T2,P,2.734018018,Chlorophytes,Chlb
T2,P,2.324394541,Chlorophytes,Chlb
T2,P,2.810721175,Chlorophytes,Chlb
T2,NO3+P,2.395481979,Chlorophytes,Chlb
T2,NO3+P,2.436627918,Chlorophytes,Chlb
T2,NO3+P,2.669761237,Chlorophytes,Chlb
T2,NH4+P,3.277365794,Chlorophytes,Chlb
T2,NH4+P,2.931513123,Chlorophytes,Chlb
T2,NH4+P,2.592140126,Chlorophytes,Chlb
T3,Control,5.941592309,Chlorophytes,Chlb
T3,Control,5.948503962,Chlorophytes,Chlb
T3,Control,6.510804789,Chlorophytes,Chlb
T3,NO3,4.621304459,Chlorophytes,Chlb
T3,NO3,5.483452263,Chlorophytes,Chlb
T3,NO3,5.366008147,Chlorophytes,Chlb
T3,NH4,9.10486182,Chlorophytes,Chlb
T3,NH4,9.796351174,Chlorophytes,Chlb
T3,NH4,8.351113585,Chlorophytes,Chlb
T3,P,5.86613109,Chlorophytes,Chlb
T3,P,5.460206428,Chlorophytes,Chlb
T3,P,5.73777952,Chlorophytes,Chlb
T3,NO3+P,5.666233105,Chlorophytes,Chlb
T3,NO3+P,5.590717889,Chlorophytes,Chlb
T3,NO3+P,5.45156686,Chlorophytes,Chlb
T3,NH4+P,9.876618152,Chlorophytes,Chlb
T3,NH4+P,8.394473412,Chlorophytes,Chlb
T3,NH4+P,7.612700581,Chlorophytes,Chlb
T0,Control,0,Dinoflagellates,Perid
T0,Control,0,Dinoflagellates,Perid
T0,Control,0,Dinoflagellates,Perid
T1,Control,0,Dinoflagellates,Perid
T1,Control,0,Dinoflagellates,Perid
T1,Control,0,Dinoflagellates,Perid
T1,NO3,0,Dinoflagellates,Perid
T1,NO3,0,Dinoflagellates,Perid
T1,NO3,0,Dinoflagellates,Perid
T1,NH4,0,Dinoflagellates,Perid
T1,NH4,0,Dinoflagellates,Perid
T1,NH4,0,Dinoflagellates,Perid
T1,P,0,Dinoflagellates,Perid
T1,P,0,Dinoflagellates,Perid
T1,P,0,Dinoflagellates,Perid
T1,NO3+P,0,Dinoflagellates,Perid
T1,NO3+P,0,Dinoflagellates,Perid
T1,NO3+P,0,Dinoflagellates,Perid
T1,NH4+P,0,Dinoflagellates,Perid
T1,NH4+P,0,Dinoflagellates,Perid
T1,NH4+P,0,Dinoflagellates,Perid
T2,Control,0,Dinoflagellates,Perid
T2,Control,0,Dinoflagellates,Perid
T2,Control,0,Dinoflagellates,Perid
T2,NO3,0,Dinoflagellates,Perid
T2,NO3,0,Dinoflagellates,Perid
T2,NO3,0,Dinoflagellates,Perid
T2,NH4,0,Dinoflagellates,Perid
T2,NH4,0,Dinoflagellates,Perid
T2,NH4,0,Dinoflagellates,Perid
T2,P,0,Dinoflagellates,Perid
T2,P,0,Dinoflagellates,Perid
T2,P,0,Dinoflagellates,Perid
T2,NO3+P,0,Dinoflagellates,Perid
T2,NO3+P,0,Dinoflagellates,Perid
T2,NO3+P,0,Dinoflagellates,Perid
T2,NH4+P,0,Dinoflagellates,Perid
T2,NH4+P,0,Dinoflagellates,Perid
T2,NH4+P,0,Dinoflagellates,Perid
T3,Control,0,Dinoflagellates,Perid
T3,Control,0,Dinoflagellates,Perid
T3,Control,0,Dinoflagellates,Perid
T3,NO3,0,Dinoflagellates,Perid
T3,NO3,0,Dinoflagellates,Perid
T3,NO3,0,Dinoflagellates,Perid
T3,NH4,0,Dinoflagellates,Perid
T3,NH4,0,Dinoflagellates,Perid
T3,NH4,0,Dinoflagellates,Perid
T3,P,0,Dinoflagellates,Perid
T3,P,0,Dinoflagellates,Perid
T3,P,0,Dinoflagellates,Perid
T3,NO3+P,0,Dinoflagellates,Perid
T3,NO3+P,0,Dinoflagellates,Perid
T3,NO3+P,0,Dinoflagellates,Perid
T3,NH4+P,0,Dinoflagellates,Perid
T3,NH4+P,0,Dinoflagellates,Perid
T3,NH4+P,0,Dinoflagellates,Perid
